index,title,cast,director,keywords,genres,soup
7987,Dr. Jekyll and Ms. Hyde,"['timdaly', 'seanyoung', 'lysetteanthony']",davidprice,"['mistakenidentity', 'scientist']",['comedy'],"['mistakenidentity', 'scientist', 'timdaly', 'seanyoung', 'lysetteanthony', 'davidprice', 'comedy']"
7988,Dream Lover,"['jamesspader', 'mädchenamick', 'fredriclehne']",nicholaskazan,"['sex', 'adultery', 'architect']","['drama', 'mystery', 'thriller']","['sex', 'adultery', 'architect', 'jamesspader', 'mädchenamick', 'fredriclehne', 'nicholaskazan', 'drama', 'mystery', 'thriller']"
7989,Fausto 5.0,"['miguelángelsolá', 'eduardfernández', 'najwanimri']",isidroortiz,[],"['horror', 'foreign']","['miguelángelsolá', 'eduardfernández', 'najwanimri', 'isidroortiz', 'horror', 'foreign']"
7990,For Queen & Country,"['denzelwashington', 'dorianhealy', 'paulmckenzie']",martinstellman,"['soldier', 'everydaylife']","['action', 'drama', 'foreign']","['soldier', 'everydaylife', 'denzelwashington', 'dorianhealy', 'paulmckenzie', 'martinstellman', 'action', 'drama', 'foreign']"
7991,Funny About Love,"['genewilder', 'christinelahti', 'marystuartmasterson']",leonardnimoy,"['baby', 'cartoonist']","['comedy', 'drama', 'romance']","['baby', 'cartoonist', 'genewilder', 'christinelahti', 'marystuartmasterson', 'leonardnimoy', 'comedy', 'drama', 'romance']"
7992,The Greatest,"['muhammadali', 'ernestborgnine', 'johnmarley']",tomgries,['biography'],['drama'],"['biography', 'muhammadali', 'ernestborgnine', 'johnmarley', 'tomgries', 'drama']"
7993,Grief,"['craigchester', 'kentfuher', 'illeanadouglas']",richardglatzer,[],[],"['craigchester', 'kentfuher', 'illeanadouglas', 'richardglatzer']"
7994,Hometown Legend,[],jamesanderson,"['sport', 'independentfilm']","['comedy', 'drama', 'family']","['sport', 'independentfilm', 'jamesanderson', 'comedy', 'drama', 'family']"
7995,How I Got Into College,"['anthonyedwards', 'coreyparker', 'laraflynnboyle']",savagesteveholland,['referencetoedmcmahon'],"['comedy', 'romance', 'family']","['referencetoedmcmahon', 'anthonyedwards', 'coreyparker', 'laraflynnboyle', 'savagesteveholland', 'comedy', 'romance', 'family']"
7996,Map of the Human Heart,"['jasonscottlee', 'robertjoamie', 'anneparillaud']",vincentward,"['worldwarii', 'inuit', 'interracialromance']","['adventure', 'drama', 'romance']","['worldwarii', 'inuit', 'interracialromance', 'jasonscottlee', 'robertjoamie', 'anneparillaud', 'vincentward', 'adventure', 'drama', 'romance']"
7997,Mr. Blandings Builds His Dream House,"['carygrant', 'myrnaloy', 'melvyndouglas']",h.c.potter,['homeownership'],"['comedy', 'romance']","['homeownership', 'carygrant', 'myrnaloy', 'melvyndouglas', 'h.c.potter', 'comedy', 'romance']"
7998,My Favorite Wife,"['carygrant', 'randolphscott', 'irenedunne']",garsonkanin,"['jealousy', 'judge', 'shipwreck']","['comedy', 'romance']","['jealousy', 'judge', 'shipwreck', 'carygrant', 'randolphscott', 'irenedunne', 'garsonkanin', 'comedy', 'romance']"
7999,The New Adventures of Pippi Longstocking,"['tamierin', 'davidseaman', 'corycrow']",kenannakin,"['flyingcar', 'musical', 'littlegirl']","['fantasy', 'adventure', 'family']","['flyingcar', 'musical', 'littlegirl', 'tamierin', 'davidseaman', 'corycrow', 'kenannakin', 'fantasy', 'adventure', 'family']"
8000,Night and Day,"['carygrant', 'alexissmith', 'montywoolley']",michaelcurtiz,"['composer', 'musical', 'biography']","['drama', 'music']","['composer', 'musical', 'biography', 'carygrant', 'alexissmith', 'montywoolley', 'michaelcurtiz', 'drama', 'music']"
8001,No Name on the Bullet,"['audiemurphy', 'charlesdrake', 'joanevans']",jackarnold,['hitman'],"['action', 'thriller', 'western']","['hitman', 'audiemurphy', 'charlesdrake', 'joanevans', 'jackarnold', 'action', 'thriller', 'western']"
8002,The Plainsman,"['garycooper', 'jeanarthur', 'jamesellison']",cecilb.demille,"['sistersisterrelationship', 'wildbillhickok', 'buffalobill']","['western', 'war', 'history']","['sistersisterrelationship', 'wildbillhickok', 'buffalobill', 'garycooper', 'jeanarthur', 'jamesellison', 'cecilb.demille', 'western', 'war', 'history']"
8003,Slaughter of the Innocents,"['scottglenn', 'jessecameron-glickenhaus', 'sheilatousey']",jamesglickenhaus,"['nun', 'fbi', 'kidnapping']","['horror', 'action', 'thriller']","['nun', 'fbi', 'kidnapping', 'scottglenn', 'jessecameron-glickenhaus', 'sheilatousey', 'jamesglickenhaus', 'horror', 'action', 'thriller']"
8004,The Snake Pit,"['oliviadehavilland', 'markstevens', 'leogenn']",anatolelitvak,['asylum'],['drama'],"['asylum', 'oliviadehavilland', 'markstevens', 'leogenn', 'anatolelitvak', 'drama']"
8005,The Spoilers,"['marlenedietrich', 'randolphscott', 'johnwayne']",rayenright,"['gold', 'miner', 'nomealaska']","['action', 'drama', 'romance']","['gold', 'miner', 'nomealaska', 'marlenedietrich', 'randolphscott', 'johnwayne', 'rayenright', 'action', 'drama', 'romance']"
8006,The Super,"['joepesci', 'vincentgardenia', 'madolynsmithosborne']",roddaniel,"['slum', 'riches']",['comedy'],"['slum', 'riches', 'joepesci', 'vincentgardenia', 'madolynsmithosborne', 'roddaniel', 'comedy']"
8007,Tai-Pan,"['bryanbrown', 'joanchen', 'johnstanton']",darylduke,"['femalenudity', 'china', 'interracialrelationship']","['adventure', 'drama', 'history']","['femalenudity', 'china', 'interracialrelationship', 'bryanbrown', 'joanchen', 'johnstanton', 'darylduke', 'adventure', 'drama', 'history']"
8008,Two of a Kind,"['johntravolta', 'olivianewton-john', 'charlesdurning']",johnherzfeld,"['god', 'malefemalerelationship']","['fantasy', 'comedy', 'sciencefiction']","['god', 'malefemalerelationship', 'johntravolta', 'olivianewton-john', 'charlesdurning', 'johnherzfeld', 'fantasy', 'comedy', 'sciencefiction']"
8009,Warriors,"['eloyazorín', 'eduardonoriega', 'rubénochandiano']",danielcalparsoro,"['kosovo', 'platoon']","['adventure', 'war', 'drama']","['kosovo', 'platoon', 'eloyazorín', 'eduardonoriega', 'rubénochandiano', 'danielcalparsoro', 'adventure', 'war', 'drama']"
8010,The Leopard,"['burtlancaster', 'alaindelon', 'claudiacardinale']",luchinovisconti,"['civilwar', 'sicily', 'pastor']",['drama'],"['civilwar', 'sicily', 'pastor', 'burtlancaster', 'alaindelon', 'claudiacardinale', 'luchinovisconti', 'drama']"
8011,"Goodbye, Columbus","['richardbenjamin', 'alimacgraw', 'jackklugman']",larrypeerce,"['jewish', 'couple']","['comedy', 'drama', 'romance']","['jewish', 'couple', 'richardbenjamin', 'alimacgraw', 'jackklugman', 'larrypeerce', 'comedy', 'drama', 'romance']"
8012,The President's Analyst,"['jamescoburn', 'godfreycambridge', 'severndarden']",theodorej.flicker,['secretagent'],"['comedy', 'sciencefiction']","['secretagent', 'jamescoburn', 'godfreycambridge', 'severndarden', 'theodorej.flicker', 'comedy', 'sciencefiction']"
8013,The Day of the Locust,"['donaldsutherland', 'karenblack', 'burgessmeredith']",johnschlesinger,"['impotence', 'careerwoman', 'hollywood']","['drama', 'thriller']","['impotence', 'careerwoman', 'hollywood', 'donaldsutherland', 'karenblack', 'burgessmeredith', 'johnschlesinger', 'drama', 'thriller']"
8014,The Creeping Flesh,"['christopherlee', 'petercushing', 'lornaheilbron']",freddiefrancis,"['monster', 'skeleton', 'reincarnation']","['sciencefiction', 'horror']","['monster', 'skeleton', 'reincarnation', 'christopherlee', 'petercushing', 'lornaheilbron', 'freddiefrancis', 'sciencefiction', 'horror']"
8015,Swann in Love,"['jeremyirons', 'ornellamuti', 'alaindelon']",volkerschlöndorff,[],"['drama', 'romance']","['jeremyirons', 'ornellamuti', 'alaindelon', 'volkerschlöndorff', 'drama', 'romance']"
8016,To End All Wars,"['ciaránmcmenamin', 'robertcarlyle', 'kiefersutherland']",davidl.cunningham,"['japan', 'scotland', 'traitor']","['action', 'comedy', 'drama']","['japan', 'scotland', 'traitor', 'ciaránmcmenamin', 'robertcarlyle', 'kiefersutherland', 'davidl.cunningham', 'action', 'comedy', 'drama']"
8017,Moulin Rouge,"['joséferrer', 'colettemarchand', 'zsazsagábor']",johnhuston,"['paris', 'dancer', 'biography']","['drama', 'music']","['paris', 'dancer', 'biography', 'joséferrer', 'colettemarchand', 'zsazsagábor', 'johnhuston', 'drama', 'music']"
8018,The Belly of an Architect,"['briandennehy', 'chloewebb', 'lambertwilson']",petergreenaway,"['architect', 'independentfilm', 'illness']",['drama'],"['architect', 'independentfilm', 'illness', 'briandennehy', 'chloewebb', 'lambertwilson', 'petergreenaway', 'drama']"
8019,The Nest,"['nadiafarès', 'richardsammel', 'samynaceri']",florent-emiliosiri,"['mafia', 'gangster', 'criminal']","['crime', 'action']","['mafia', 'gangster', 'criminal', 'nadiafarès', 'richardsammel', 'samynaceri', 'florent-emiliosiri', 'crime', 'action']"
8020,Love Happy,"['grouchomarx', 'harpomarx', 'chicomarx']",davidmiller,"['musical', 'broadway']",['comedy'],"['musical', 'broadway', 'grouchomarx', 'harpomarx', 'chicomarx', 'davidmiller', 'comedy']"
8021,High School Confidential!,"['russtamblyn', 'jansterling', 'johndrewbarrymore']",jackarnold,['juveniledelinquent'],"['mystery', 'thriller']","['juveniledelinquent', 'russtamblyn', 'jansterling', 'johndrewbarrymore', 'jackarnold', 'mystery', 'thriller']"
8022,Out of the Blue,"['dennishopper', 'raymondburr', 'sharonfarrell']",dennishopper,"['punk', 'independentfilm', 'comingofage']",['drama'],"['punk', 'independentfilm', 'comingofage', 'dennishopper', 'raymondburr', 'sharonfarrell', 'dennishopper', 'drama']"
8023,Crimetime,"['stephenbaldwin', 'petepostlethwaite', 'sadiefrost']",georgesluizer,[],['thriller'],"['stephenbaldwin', 'petepostlethwaite', 'sadiefrost', 'georgesluizer', 'thriller']"
8024,A Woman Is a Woman,"['jean-claudebrialy', 'annakarina', 'jean-paulbelmondo']",jean-lucgodard,['independentfilm'],"['comedy', 'drama', 'romance']","['independentfilm', 'jean-claudebrialy', 'annakarina', 'jean-paulbelmondo', 'jean-lucgodard', 'comedy', 'drama', 'romance']"
8025,Mamma Roma,"['annamagnani', 'ettoregarofolo', 'francocitti']",pierpaolopasolini,"['italy', 'prostitute', 'bar']",['drama'],"['italy', 'prostitute', 'bar', 'annamagnani', 'ettoregarofolo', 'francocitti', 'pierpaolopasolini', 'drama']"
8026,The Lower Depths,"['toshirōmifune', 'isuzuyamada', 'kyôkokagawa']",akirakurosawa,['independentfilm'],['drama'],"['independentfilm', 'toshirōmifune', 'isuzuyamada', 'kyôkokagawa', 'akirakurosawa', 'drama']"
8027,Ruby Cairo,"['andiemacdowell', 'liamneeson', 'viggomortensen']",graemeclifford,"['cairo', 'mexico', 'bank']","['mystery', 'thriller']","['cairo', 'mexico', 'bank', 'andiemacdowell', 'liamneeson', 'viggomortensen', 'graemeclifford', 'mystery', 'thriller']"
8028,Night Patrol,"['lindablair', 'patpaulsen', 'jayep.morgan']",jackiekong,"['nudity', 'police', 'crudehumor']",['comedy'],"['nudity', 'police', 'crudehumor', 'lindablair', 'patpaulsen', 'jayep.morgan', 'jackiekong', 'comedy']"
8029,Biggles,"['neildickson', 'alexhyde-white', 'fionahutchison']",johnhough,"['worldwari', 'timetravel', 'twinbrother']","['action', 'family', 'fantasy']","['worldwari', 'timetravel', 'twinbrother', 'neildickson', 'alexhyde-white', 'fionahutchison', 'johnhough', 'action', 'family', 'fantasy']"
8030,Fancy Pants,"['bobhope', 'lucilleball', 'brucecabot']",georgemarshall,"['butler', 'musical', 'daughter']","['music', 'comedy', 'western']","['butler', 'musical', 'daughter', 'bobhope', 'lucilleball', 'brucecabot', 'georgemarshall', 'music', 'comedy', 'western']"
8031,The World of Suzie Wong,"['williamholden', 'sylviasyms', 'michaelwilding']",richardquine,"['basedonnovel', 'artist', 'hongkong']","['drama', 'romance']","['basedonnovel', 'artist', 'hongkong', 'williamholden', 'sylviasyms', 'michaelwilding', 'richardquine', 'drama', 'romance']"
8032,King of the Ants,"['chrismckenna', 'kariwuhrer', 'georgewendt']",stuartgordon,"['basedonnovel', 'golf', 'nightmare']","['action', 'crime', 'drama']","['basedonnovel', 'golf', 'nightmare', 'chrismckenna', 'kariwuhrer', 'georgewendt', 'stuartgordon', 'action', 'crime', 'drama']"
8033,Uncle Sam,"['williamsmith', ""david'shark'fralick"", 'christopherogden']",williamlustig,"['uncle', 'iraqwarveteran', 'kuwait']","['comedy', 'horror']","['uncle', 'iraqwarveteran', 'kuwait', 'williamsmith', ""david'shark'fralick"", 'christopherogden', 'williamlustig', 'comedy', 'horror']"
8034,"Yesterday, Today and Tomorrow","['sophialoren', 'marcellomastroianni', 'aldogiuffrè']",vittoriodesica,"['prostitute', 'italian', 'independentfilm']","['drama', 'comedy', 'romance']","['prostitute', 'italian', 'independentfilm', 'sophialoren', 'marcellomastroianni', 'aldogiuffrè', 'vittoriodesica', 'drama', 'comedy', 'romance']"
8035,La Belle Noiseuse,"['michelpiccoli', 'janebirkin', 'emmanuellebéart']",jacquesrivette,"['france', 'countryestate', 'eroticism']",['drama'],"['france', 'countryestate', 'eroticism', 'michelpiccoli', 'janebirkin', 'emmanuellebéart', 'jacquesrivette', 'drama']"
8036,La balance,"['nathaliebaye', 'philippeléotard', 'richardberry']",bobswaim,"['paris', 'prostitute', 'detective']","['drama', 'thriller']","['paris', 'prostitute', 'detective', 'nathaliebaye', 'philippeléotard', 'richardberry', 'bobswaim', 'drama', 'thriller']"
8037,Gun Crazy,"['peggycummins', 'johndall', 'berrykroeger']",josephh.lewis,"['gun', 'classicnoir', 'personrunningamok']","['crime', 'drama', 'thriller']","['gun', 'classicnoir', 'personrunningamok', 'peggycummins', 'johndall', 'berrykroeger', 'josephh.lewis', 'crime', 'drama', 'thriller']"
8038,The Set-Up,"['robertryan', 'audreytotter', 'georgetobias']",robertwise,"['gambling', 'transporter', 'boxer']","['crime', 'drama']","['gambling', 'transporter', 'boxer', 'robertryan', 'audreytotter', 'georgetobias', 'robertwise', 'crime', 'drama']"
8039,Unprecedented: The 2000 Presidential Election,[],richardrayperez,['womandirector'],['documentary'],"['womandirector', 'richardrayperez', 'documentary']"
8040,The Prime of Miss Jean Brodie,"['maggiesmith', 'robertstephens', 'pamelafranklin']",ronaldneame,"['edinburgh', 'eccentric', 'teacher']",['drama'],"['edinburgh', 'eccentric', 'teacher', 'maggiesmith', 'robertstephens', 'pamelafranklin', 'ronaldneame', 'drama']"
8041,My Voyage to Italy,['martinscorsese'],martinscorsese,"['italy', 'italian', 'cinema']",['documentary'],"['italy', 'italian', 'cinema', 'martinscorsese', 'martinscorsese', 'documentary']"
8042,The North Avenue Irregulars,"['barbaraharris', 'susanclark', 'karenvalentine']",brucebilson,"['minister', 'neighbor', 'gang']","['family', 'action', 'comedy']","['minister', 'neighbor', 'gang', 'barbaraharris', 'susanclark', 'karenvalentine', 'brucebilson', 'family', 'action', 'comedy']"
8043,Lovers and Other Strangers,"['sylvesterstallone', 'gigyoung', 'beaarthur']",cyhoward,['independentfilm'],"['comedy', 'drama', 'romance']","['independentfilm', 'sylvesterstallone', 'gigyoung', 'beaarthur', 'cyhoward', 'comedy', 'drama', 'romance']"
8044,Kotch,"['waltermatthau', 'deborahwinters', 'feliciafarr']",jacklemmon,"['nursinghome', 'teenagepregnancy']","['comedy', 'drama']","['nursinghome', 'teenagepregnancy', 'waltermatthau', 'deborahwinters', 'feliciafarr', 'jacklemmon', 'comedy', 'drama']"
8045,Greyfriars Bobby: The True Story of a Dog,"['donaldcrisp', 'laurencenaismith', 'alexmackenzie']",donchaffey,[],"['drama', 'family']","['donaldcrisp', 'laurencenaismith', 'alexmackenzie', 'donchaffey', 'drama', 'family']"
8046,Side Out,"['c.thomashowell', 'peterhorton', 'courtneythorne-smith']",peterisraelson,"['volleyball', 'sport', 'beachvolley']","['comedy', 'drama', 'romance']","['volleyball', 'sport', 'beachvolley', 'c.thomashowell', 'peterhorton', 'courtneythorne-smith', 'peterisraelson', 'comedy', 'drama', 'romance']"
8047,The Three Lives of Thomasina,"['patrickmcgoohan', 'susanhampshire', 'karendotrice']",donchaffey,[],"['fantasy', 'drama', 'thriller']","['patrickmcgoohan', 'susanhampshire', 'karendotrice', 'donchaffey', 'fantasy', 'drama', 'thriller']"
8048,"No Deposit, No Return","['kimrichards', 'bradsavage', 'barbarafeldon']",normantokar,[],"['comedy', 'family', 'crime']","['kimrichards', 'bradsavage', 'barbarafeldon', 'normantokar', 'comedy', 'family', 'crime']"
8049,"The One and Only, Genuine, Original Family Band","['goldiehawn', 'kurtrussell', 'walterbrennan']",michaelo'herlihy,[],"['music', 'family']","['goldiehawn', 'kurtrussell', 'walterbrennan', ""michaelo'herlihy"", 'music', 'family']"
8050,Under the Lighthouse Dancing,"['jackthompson', 'jacquelinemckenzie', 'naomiwatts']",graemerattigan,[],[],"['jackthompson', 'jacquelinemckenzie', 'naomiwatts', 'graemerattigan']"
8051,This Gun for Hire,"['veronicalake', 'robertpreston', 'lairdcregar']",franktuttle,"['cat', 'paranoia', 'hitman']","['crime', 'drama', 'mystery']","['cat', 'paranoia', 'hitman', 'veronicalake', 'robertpreston', 'lairdcregar', 'franktuttle', 'crime', 'drama', 'mystery']"
8052,Black Angel,"['danduryea', 'junevincent', 'peterlorre']",roywilliamneill,"['falselyaccused', 'filmnoir']","['crime', 'drama', 'mystery']","['falselyaccused', 'filmnoir', 'danduryea', 'junevincent', 'peterlorre', 'roywilliamneill', 'crime', 'drama', 'mystery']"
8053,The Big Clock,"['raymilland', 'charleslaughton', ""maureeno'sullivan""]",johnfarrow,"['clock', 'magazine', 'publisher']","['crime', 'drama', 'mystery']","['clock', 'magazine', 'publisher', 'raymilland', 'charleslaughton', ""maureeno'sullivan"", 'johnfarrow', 'crime', 'drama', 'mystery']"
8054,Criss Cross,"['burtlancaster', 'yvonnedecarlo', 'danduryea']",robertsiodmak,"['armoredcar', 'classicnoir', 'filmnoir']","['crime', 'drama']","['armoredcar', 'classicnoir', 'filmnoir', 'burtlancaster', 'yvonnedecarlo', 'danduryea', 'robertsiodmak', 'crime', 'drama']"
8055,The Fifth Musketeer,"['beaubridges', 'ursulaandress', 'sylviakristel']",kenannakin,"['mistakeinperson', 'plan', 'royalty']","['action', 'history']","['mistakeinperson', 'plan', 'royalty', 'beaubridges', 'ursulaandress', 'sylviakristel', 'kenannakin', 'action', 'history']"
8056,Evilspeak,"['clinthoward', 'r.g.armstrong', 'joecortese']",ericweston,"['cadet', 'pig', 'nerd']",['horror'],"['cadet', 'pig', 'nerd', 'clinthoward', 'r.g.armstrong', 'joecortese', 'ericweston', 'horror']"
8057,Terror by Night,"['basilrathbone', 'nigelbruce', 'alanmowbray']",roywilliamneill,"['mathematics', 'sherlockholmes', 'mystery']","['adventure', 'thriller', 'crime']","['mathematics', 'sherlockholmes', 'mystery', 'basilrathbone', 'nigelbruce', 'alanmowbray', 'roywilliamneill', 'adventure', 'thriller', 'crime']"
8058,The Spy Who Came in from the Cold,"['richardburton', 'clairebloom', 'oskarwerner']",martinritt,"['library', 'spy', 'coldwar']","['drama', 'thriller']","['library', 'spy', 'coldwar', 'richardburton', 'clairebloom', 'oskarwerner', 'martinritt', 'drama', 'thriller']"
8059,Sherlock Holmes and the Secret Weapon,"['basilrathbone', 'nigelbruce', 'lionelatwill']",roywilliamneill,['sherlockholmes'],"['action', 'adventure', 'crime']","['sherlockholmes', 'basilrathbone', 'nigelbruce', 'lionelatwill', 'roywilliamneill', 'action', 'adventure', 'crime']"
8060,The Woman in Green,"['basilrathbone', 'nigelbruce', 'hillarybrooke']",roywilliamneill,"['blackmail', 'hypnosis', 'investigation']","['thriller', 'mystery']","['blackmail', 'hypnosis', 'investigation', 'basilrathbone', 'nigelbruce', 'hillarybrooke', 'roywilliamneill', 'thriller', 'mystery']"
8061,The Counterfeit Traitor,"['williamholden', 'lillipalmer', 'hughgriffith']",georgeseaton,"['spy', 'sweden', 'worldwarii']","['war', 'thriller', 'drama']","['spy', 'sweden', 'worldwarii', 'williamholden', 'lillipalmer', 'hughgriffith', 'georgeseaton', 'war', 'thriller', 'drama']"
8062,"One, Two, Three, Sun","['anoukgrinberg', 'myriamboyer', 'oliviermartinez']",bertrandblier,[],"['drama', 'comedy']","['anoukgrinberg', 'myriamboyer', 'oliviermartinez', 'bertrandblier', 'drama', 'comedy']"
8063,Roadkill,"['valeriebuhagiar', 'gerryquigley', 'larryhudson']",brucemcdonald,"['canada', 'roadtrip', 'easter']","['history', 'adventure', 'comedy']","['canada', 'roadtrip', 'easter', 'valeriebuhagiar', 'gerryquigley', 'larryhudson', 'brucemcdonald', 'history', 'adventure', 'comedy']"
8064,Dressed to Kill,"['basilrathbone', 'nigelbruce', 'patriciamorison']",roywilliamneill,['sherlockholmes'],"['drama', 'thriller', 'crime']","['sherlockholmes', 'basilrathbone', 'nigelbruce', 'patriciamorison', 'roywilliamneill', 'drama', 'thriller', 'crime']"
8065,Bon voyage,"['grégoriderangère', 'gérarddepardieu', 'isabelleadjani']",jean-paulrappeneau,[],"['comedy', 'drama', 'foreign']","['grégoriderangère', 'gérarddepardieu', 'isabelleadjani', 'jean-paulrappeneau', 'comedy', 'drama', 'foreign']"
8066,The Assassination Bureau,"['oliverreed', 'dianarigg', 'tellysavalas']",basildearden,['dirigible'],"['thriller', 'crime', 'comedy']","['dirigible', 'oliverreed', 'dianarigg', 'tellysavalas', 'basildearden', 'thriller', 'crime', 'comedy']"
8067,The Manchurian Candidate,"['denzelwashington', 'merylstreep', 'lievschreiber']",jonathandemme,"['senator', 'gulfwar', 'canoe']","['drama', 'thriller', 'mystery']","['senator', 'gulfwar', 'canoe', 'denzelwashington', 'merylstreep', 'lievschreiber', 'jonathandemme', 'drama', 'thriller', 'mystery']"
8068,Thunderbirds,"['bradycorbet', 'sorenfulton', 'deboraweston']",jonathanfrakes,"['secretorganization', 'basedontvseries', 'goldengatebridge']","['action', 'adventure', 'comedy']","['secretorganization', 'basedontvseries', 'goldengatebridge', 'bradycorbet', 'sorenfulton', 'deboraweston', 'jonathanfrakes', 'action', 'adventure', 'comedy']"
8069,The Village,"['brycedallashoward', 'joaquinphoenix', 'adrienbrody']",m.nightshyamalan,"['secret', 'forest', 'ruralsetting']","['drama', 'mystery', 'thriller']","['secret', 'forest', 'ruralsetting', 'brycedallashoward', 'joaquinphoenix', 'adrienbrody', 'm.nightshyamalan', 'drama', 'mystery', 'thriller']"
8070,Garden State,"['zachbraff', 'natalieportman', 'ianholm']",zachbraff,"['newjersey', 'paraplegic', 'lossofmother']","['comedy', 'drama', 'romance']","['newjersey', 'paraplegic', 'lossofmother', 'zachbraff', 'natalieportman', 'ianholm', 'zachbraff', 'comedy', 'drama', 'romance']"
8071,Early Summer,"['setsukohara', 'chishuryu', 'kunikomiyake']",yasujirōozu,"['marriageproposal', 'independentfilm', 'postworldwarii']",['drama'],"['marriageproposal', 'independentfilm', 'postworldwarii', 'setsukohara', 'chishuryu', 'kunikomiyake', 'yasujirōozu', 'drama']"
8072,Port of Shadows,"['jeangabin', 'michelsimon', 'michèlemorgan']",marcelcarné,"['french', 'port']","['crime', 'drama', 'romance']","['french', 'port', 'jeangabin', 'michelsimon', 'michèlemorgan', 'marcelcarné', 'crime', 'drama', 'romance']"
8073,Thunderbirds are GO,"['peterdyneley', 'sylviaanderson', 'shanerimmer']",davidlane,"['puppet', 'basedontvseries', 'thunderbirds']","['animation', 'family', 'action']","['puppet', 'basedontvseries', 'thunderbirds', 'peterdyneley', 'sylviaanderson', 'shanerimmer', 'davidlane', 'animation', 'family', 'action']"
8074,Thunderbird 6,"['peterdyneley', 'sylviaanderson', 'shanerimmer']",davidlane,"['puppet', 'basedontvseries', 'thunderbirds']","['adventure', 'family', 'sciencefiction']","['puppet', 'basedontvseries', 'thunderbirds', 'peterdyneley', 'sylviaanderson', 'shanerimmer', 'davidlane', 'adventure', 'family', 'sciencefiction']"
8075,Castle Keep,"['burtlancaster', 'jean-pierreaumont', 'peterfalk']",sydneypollack,"['castle', 'battleofthebulge']","['action', 'comedy', 'drama']","['castle', 'battleofthebulge', 'burtlancaster', 'jean-pierreaumont', 'peterfalk', 'sydneypollack', 'action', 'comedy', 'drama']"
8076,Revengers Tragedy,"['christophereccleston', 'eddieizzard', 'derekjacobi']",alexcox,"['dystopia', 'revenge', 'wedding']","['comedy', 'drama', 'foreign']","['dystopia', 'revenge', 'wedding', 'christophereccleston', 'eddieizzard', 'derekjacobi', 'alexcox', 'comedy', 'drama', 'foreign']"
8077,Beyond Hypothermia,"['jacklynwu', 'lauching-wan', 'shirleywongsa-lee']",patrickleung,['girlswithguns'],"['action', 'comedy', 'crime']","['girlswithguns', 'jacklynwu', 'lauching-wan', 'shirleywongsa-lee', 'patrickleung', 'action', 'comedy', 'crime']"
8078,Octane,"['madeleinestowe', 'normanreedus', 'bijouphillips']",marcusadams,"['dancing', 'dream', 'kidnapping']","['mystery', 'thriller', 'horror']","['dancing', 'dream', 'kidnapping', 'madeleinestowe', 'normanreedus', 'bijouphillips', 'marcusadams', 'mystery', 'thriller', 'horror']"
8079,PTU,"['simonyam', 'lamsuet', 'rubywong']",johnnieto,[],"['crime', 'drama', 'action']","['simonyam', 'lamsuet', 'rubywong', 'johnnieto', 'crime', 'drama', 'action']"
8080,Unfinished Piece for Mechanical Piano,"['aleksandrkalyagin', 'yelenasolovey', 'evgeniyaglushenko']",nikitamikhalkov,[],['drama'],"['aleksandrkalyagin', 'yelenasolovey', 'evgeniyaglushenko', 'nikitamikhalkov', 'drama']"
8081,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8082,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8083,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8084,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8085,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8086,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8087,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8088,The Warrior,"['irrfankhan', 'puruchibber', 'ainoannuddin']",asifkapadia,[],"['adventure', 'animation', 'drama']","['irrfankhan', 'puruchibber', 'ainoannuddin', 'asifkapadia', 'adventure', 'animation', 'drama']"
8089,A Funny Thing Happened on the Way to the Forum,"['zeromostel', 'jackgilford', 'philsilvers']",richardlester,"['virgin', 'ancientrome', 'freedom']","['comedy', 'music']","['virgin', 'ancientrome', 'freedom', 'zeromostel', 'jackgilford', 'philsilvers', 'richardlester', 'comedy', 'music']"
